"Rock Type (Limestone-1,Shale-3,Sandstone-4,Basalt-5,Granite-6)",Density (g/cc),UCS (MPa),RQD (%),Hardness,Joint Spacing (m),Joint Orientation (deg),Fracture Frequency (/m),Charge per Hole (kg),Powder Factor (kg/m3),Delay Timing (ms),"Initiation Sequence (Line-1,Staggered-2,Diagonal-3,Vpattern-4)",Burden (m),Spacing (m),Bench Height (m),Hole Diameter (mm),Hole Depth (m),Sub Drilling (m),Stemming Length (m),"Explosive Type(Emulsion-1,ANFO-2,Slurry-3)",Bench Width (m),Slope Angle (deg),Overall Slope Angle (deg),Pit Length (m),Temperature (C),Rainfall (mm),Humidity (%),Flyrock Distance (m)
1,2.86,167.6,49.2,3,0.96,4,15,337.9,0.79,273,1,2.87,4.04,6.99,182,8.5,1.37,2.73,3,17.33,71,34,705.7,39,151,76,54.15
6,2.39,102.9,48.2,9,1.66,24,15,311.7,0.71,33,2,5.61,7.45,12.34,140,13.29,2.12,4.6,3,18.19,53,43,427.6,29,159,35,49.02
6,2.32,180,72.9,5,1.75,74,5,60.4,0.97,93,1,3.68,5.33,7.43,134,8.51,1.77,2.93,2,8.64,68,46,678.4,45,80,80,41.04
1,2.74,234,67.6,7,1.76,40,2,94.7,0.83,24,1,3.39,3.79,10.11,169,11.35,1.02,3.3,3,17.72,45,44,307.5,45,180,60,27.81
4,2.48,285.7,57.1,5,1.8,68,13,453.4,0.72,54,1,6.94,10.16,14.47,108,15.33,3.34,6.42,1,19.82,65,39,476,24,292,59,46.15
3,2.52,161.9,91.9,6,2.1,62,4,197.7,0.51,206,3,3.56,4.32,8.1,144,9.29,1.44,2.94,2,17.79,54,49,471.2,30,255,73,23.72
6,2.73,234.3,96.2,3,0.54,40,2,216.9,0.75,53,4,5.66,7.66,14.28,184,16.07,2.06,5.18,3,18.91,55,35,674.2,26,175,55,33.61
4,2.88,230.3,80.6,10,0.39,68,13,249.9,0.66,122,1,3.97,5.19,11.81,183,13.71,1.98,2.84,3,13.49,75,43,198.1,20,280,37,42.5
4,2.6,59.3,56.4,4,2.36,57,2,275.7,0.34,352,2,3.87,4.46,8.06,178,9.35,1.51,3.35,1,16.59,48,30,498.1,23,146,35,19.94
4,2.29,257.6,55.2,7,1.23,44,8,329.2,0.88,476,3,3.68,3.93,9.08,222,10.63,1.64,2.96,1,10.9,51,46,590.2,24,197,31,48.88
4,2.93,138.9,44.7,5,0.68,78,4,424.7,0.76,306,1,4.37,5.12,9.83,191,11.8,1.79,4.18,1,9.65,57,51,833.8,28,231,53,53.16
5,2.55,205.2,44,3,1.53,86,6,251.5,0.85,111,4,6.73,7.86,14.25,109,15.89,3.17,4.79,3,5.62,69,36,770.1,37,259,98,53.05
1,2.82,131.1,87.4,6,0.19,21,15,455.2,0.36,137,1,3.13,3.86,6.64,231,8.26,1.33,2.67,3,9.48,69,55,933.2,31,177,31,27.68
4,2.85,133.2,51.3,5,1.71,61,4,168.6,0.94,402,2,4.03,5.41,10.26,108,11.21,1.26,3.2,2,15.77,72,44,736.1,33,48,71,51.55
6,2.37,255.8,72.3,10,1.48,53,8,410.8,0.57,392,1,3.2,3.93,7.4,145,8.88,0.79,2.27,1,10.78,57,32,543.1,33,272,65,47.03
5,2.36,236.9,98,9,2.4,49,8,229.1,0.42,388,3,4.74,6.63,11.32,196,12.81,1.28,3.85,3,9.82,54,42,482.4,26,294,39,18.24
6,2.91,35.4,93.6,4,0.33,31,11,302.5,0.76,199,2,2.97,4.27,7.1,97,8.49,0.81,2.84,3,17.66,61,35,909.2,23,47,44,52.5
3,2.72,113.3,56.7,6,2.02,31,7,208.7,0.66,161,1,3.19,4.67,7.4,136,8.22,0.73,3.11,2,16.35,56,41,193.8,27,117,76,26.9
1,2.4,166.3,68.8,3,0.53,31,2,296.8,0.96,264,4,6.22,8.24,14.19,209,14.76,2,4.91,3,13.18,69,46,951.1,43,274,95,63.3
3,2.9,231.3,30,3,2.4,66,3,420.2,0.72,123,4,2.54,2.81,7.29,215,8.82,0.57,2.05,2,7.43,74,40,418.5,28,119,82,57.62
3,2.75,296.7,53.2,7,1.75,74,11,131.4,0.69,50,2,2.1,2.45,6.07,141,7.31,0.85,1.62,1,5.06,69,55,584.4,22,145,74,32.18
1,2.48,65.3,77.9,10,2.23,24,14,139.3,0.48,53,2,2.63,3.84,6.13,216,7.98,1.08,1.89,2,6.6,53,38,736.9,21,43,64,38.01
5,2.39,138.1,37.2,4,2.34,76,3,86.8,0.61,106,1,3.76,4,9.62,86,10.73,1.01,2.64,2,16.3,70,43,507.2,41,222,37,38.06
3,2.31,285.9,51.1,4,0.7,14,14,93.5,0.87,486,1,5.2,7.15,13.52,193,14.07,2.59,4.4,1,18.02,59,34,424.5,41,120,36,34.26
4,2.9,114.4,93.3,3,1.93,22,15,399.5,0.33,81,3,2.72,2.9,7.79,136,8.66,1.28,2.47,1,17.67,49,38,271.7,40,254,46,21.11
3,2.95,75.7,74.7,6,0.63,14,1,383.8,0.79,116,4,6.46,7.45,14.61,144,16.06,3.13,6.32,1,11.17,58,52,610.4,25,237,76,34.7
3,2.77,57.2,31.5,7,1.49,29,6,152.7,0.52,243,1,3.42,4.72,9.47,94,10.44,0.79,2.98,3,7.62,63,47,841.4,22,283,55,24.49
4,2.48,245,37.4,8,2.33,63,3,280.5,0.35,180,1,6.25,7.49,14.7,249,16.43,1.97,5.66,1,9.81,46,50,197.7,25,3,96,22.13
6,2.34,242,69.6,10,2.36,29,1,430,0.62,380,4,4.59,4.66,13.44,240,14.4,1.21,4,1,9.43,64,47,280.4,29,111,55,39.69
4,2.93,36.7,49.1,3,0.36,40,5,101.8,0.73,296,4,3.4,3.43,7.09,116,8.77,0.71,3.13,3,8.93,51,31,659.5,44,200,46,32.12
3,2.34,84.4,71.5,9,0.11,9,2,244.9,0.92,290,1,7.06,8.91,14.34,105,15.83,1.49,6.42,2,9.24,63,55,820.3,31,269,78,35.57
5,2.69,177.3,69.8,10,2.36,38,9,263.8,0.44,480,3,3.67,4.2,7.98,147,8.92,1.32,3.43,2,19.99,47,35,464,31,72,94,30.04
6,2.4,150.2,51.4,3,0.25,22,3,163.6,0.47,469,2,2.7,3.15,6.75,92,7.45,1.22,2.4,3,16.44,62,43,157.8,40,252,68,33.79
3,2.31,286.5,32.5,10,0.63,48,7,474.3,0.61,235,4,5.52,7.92,13.11,180,13.99,1.95,5.47,1,11.68,73,49,778.2,23,26,36,46.13
6,2.6,223,87.5,9,1.15,73,15,373.2,0.32,186,2,5.79,7.95,13.5,179,15.09,2.27,4.27,1,8.86,69,53,553.9,45,194,100,38.57
5,2.51,117.8,99.3,8,2.14,83,2,294.4,0.67,485,1,5.09,7.25,11.07,233,12.03,2.08,4.34,3,9.96,69,44,564.2,36,173,30,34.99
